variant,segmentation_variant,vesselness_profile,artery_method,morphology_profile,morphology_mode,morphology_closing_radius,morphology_dilation_radius,morphology_base_dilation_radius,morphology_max_dilation_radius,morphology_support_percentile,morphology_support_factor,morphology_local_max_radius,vesselness_sigmas,vesselness_alpha,vesselness_beta,vesselness_gamma,rg_min_vesselness_fraction,rg_threshold_divisor,rg_comparison_window,rg_relaxed_floor_factor,rg_neighborhood,rg_reference_scope,rg_reference_radius,rg_reference_percentile,rg_branch_overrides,fc_alpha,fc_sigma_hu,fc_candidate_min_vesselness,fc_vesselness_floor,fc_vesselness_weight,fc_seed_search_radius,fc_max_seeds_per_ostium,fc_max_candidate_voxels,fc_max_processed_voxels,fc_grow_each_ostium_separately,fc_branch_overrides,recovery
fc_floor020_sigma110__current_c3_d2,fc_floor020_sigma110,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,110,0.02,0.02,0.9,2,4,500000,500000,False,null,null
fc_floor020_sigma110__conditioned_p10_f025,fc_floor020_sigma110,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,110,0.02,0.02,0.9,2,4,500000,500000,False,null,null
fc_floor020_sigma110__conditioned_p10_f050,fc_floor020_sigma110,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,110,0.02,0.02,0.9,2,4,500000,500000,False,null,null
fc_floor020_weight088__current_c3_d2,fc_floor020_weight088,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.88,2,4,500000,500000,False,null,null
fc_floor020_weight088__conditioned_p10_f025,fc_floor020_weight088,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.88,2,4,500000,500000,False,null,null
fc_floor020_weight088__conditioned_p10_f050,fc_floor020_weight088,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.88,2,4,500000,500000,False,null,null
fc_floor020_weight092__current_c3_d2,fc_floor020_weight092,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.92,2,4,500000,500000,False,null,null
fc_floor020_weight092__conditioned_p10_f025,fc_floor020_weight092,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.92,2,4,500000,500000,False,null,null
fc_floor020_weight092__conditioned_p10_f050,fc_floor020_weight092,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.92,2,4,500000,500000,False,null,null
fc_floor020_neighborhood18__current_c3_d2,fc_floor020_neighborhood18,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False,null,null
