IMG_ID,normal_rg,normal_threshold_fc,rg_variant,fc_variant,fc_minus_rg,ostia_status,left_dist_mm,right_dist_mm,fuzzy_threshold_balanced_fc_semi_permissive,fuzzy_threshold_balanced_rg,contextual_strong_object_threshold_fc,contextual_strong_object_threshold_rg
134,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,0.001505828940142187,found_but_wrong,1.4237464075486943,26.652513213040326,0.07888446215139443,0.07737863321125224,,
175,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,0.04598203976768561,both_tolerable,0.9004562916672442,0.5,0.5062819073825989,0.4602998676149133,,
194,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,-0.00981076330054631,both_tolerable,0.8095744354916121,1.345667690480501,0.7795618560843499,0.7893726193848962,,
248,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,0.0016084539886270788,found_but_wrong,0.0,21.585732502193434,0.5125825731362064,0.5109741191475793,,
251,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,0.0066632371540373825,both_tolerable,0.8095744354916121,1.029961908617559,0.5825954078833947,0.5759321707293573,,
305,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,-0.010884551799693165,both_tolerable,1.8419615266408254,0.0,0.6765716374269006,0.6874561892265938,,
315,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,-0.005849303914968407,both_tolerable,0.0,0.5,0.6402249872166355,0.6460742911316039,,
330,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,-0.057706356514885315,both_tolerable,1.91015625,1.9745118129335317,0.6256019141618064,0.6833082706766918,,
344,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,-0.013954824642023356,both_tolerable,2.3132520947588593,0.0,0.7235884899714311,0.7375433146134545,,
362,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,0.014830598368670733,found_but_wrong,1.546875,19.538751684353137,0.3472805823518968,0.33244998398322606,,
376,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,-0.03150457505592141,both_tolerable,0.0,0.9013878188659973,0.6992690770880031,0.7307736521439245,,
380,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,0.027635364662287665,both_tolerable,2.3495403733114086,1.739843048383334,0.5796007896468524,0.5519654249845647,,
409,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,-0.2802543116090199,both_tolerable,1.703254904736168,0.5,0.2870457177521646,0.5673000293611845,,
420,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,-0.2198740906336778,both_correct,0.0,0.0,0.5301446570228652,0.750018747656543,,
428,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,0.00492249966740721,both_tolerable,0.0,1.2202077119702048,0.634273109882866,0.6293506102154588,,
447,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,0.010353030074416791,found_but_wrong,0.0,11.388690465010123,0.4777019130220828,0.467348882947666,,
450,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,-0.013869602422240113,both_tolerable,2.293447831127092,1.4537234150890344,0.6991547610142868,0.7130243634365269,,
459,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,0.0015034723087223867,both_tolerable,0.0,0.5,0.4970377197024554,0.49553424739373303,,
510,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,0.008013563154866898,both_tolerable,0.0,1.1377451873456221,0.6853217327040327,0.6773081695491658,,
518,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,-0.024478484164533132,both_tolerable,0.69140625,0.8532541254157887,0.6786189130796078,0.7030973972441409,,
538,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,-0.006161826304348805,both_tolerable,0.0,0.8095744354916121,0.5500328155764603,0.5561946418808091,,
550,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,-0.00618555432001644,both_tolerable,0.0,1.6331862610496237,0.5363639420328838,0.5425494963529003,,
553,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,-0.016906192970001288,both_tolerable,1.3984375,1.0,0.5415946479045082,0.5585008408745095,,
603,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,0.005073330428344847,found_but_wrong,0.0,7.171684578422479,0.4543152845022876,0.44924195407394274,,
605,,,fuzzy_threshold_balanced_rg,fuzzy_threshold_balanced_fc_semi_permissive,-0.05210960230679318,both_tolerable,0.0,0.5,0.6989979821671869,0.7511075844739801,,
