IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_out_of_tolerance_as_miss,aorta_interpolate_missed_circles
447,0.467348882947666,11634,region_growing,,,,,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,11.282064223559944,"(119, 186, 173)","(141, 141, 166)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
836,0.7438879393624136,26640,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,0.9004562916672442,0.5,"(101, 138, 174)","(126, 105, 209)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
603,0.4381347508535373,15317,region_growing,,,,,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,27.84537235076125,"(81, 171, 169)","(103, 140, 129)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
676,0.4987987289777571,8527,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,1.1576348337032387,0.8916609243998318,"(77, 185, 138)","(98, 161, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
44,0.2777647246788154,168775,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,yes,0.58984375,0.0,"(97, 131, 150)","(110, 91, 177)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
129,0.7126447678184892,29954,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,2.23828125,0.5,"(96, 156, 163)","(109, 118, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
518,0.6698155814828755,31133,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8532541254157887,"(108, 162, 164)","(126, 128, 193)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
793,0.7084307131049421,20164,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,4.107280240811734,"(74, 160, 139)","(109, 117, 178)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
550,0.5417879417879418,11416,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.6331862610496235,"(97, 158, 200)","(113, 127, 211)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
631,0.5032588315823934,11613,region_growing,,,,,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,inf,"(92, 133, 153)",,,one ostium correct,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
330,0.5116874799871918,69799,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.974511812933532,"(104, 141, 195)","(119, 113, 222)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
90,0.6790472676587546,34871,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,0.66015625,0.5,"(88, 157, 157)","(113, 120, 186)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
608,0.6666666666666666,34747,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,1.3680800657879093,0.5,"(92, 126, 142)","(97, 80, 173)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
