IMG_ID,base_dice,base_ostia,base_min_hu,base_threshold_voxels,base_lcc_voxels,artery_dice,ostia_detection_status,min_threshold_hu,threshold_voxel_count,lcc_voxel_count,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,variant,delta,threshold_delta,lcc_voxel_delta,status_changed
836,0.7438879393624136,both tolerable,-300.0,10869642,10324182,0.7380735684489951,both tolerable,-83.75,9520204,8983861,object_relative_percentile,15.0,99.5,object_relative_p15p0,-0.005814370913418521,216.25,-1340321,False
603,0.4381347508535373,found but incorrect,-300.0,8507098,8264026,0.4380594922237322,found but incorrect,-96.75,7541769,7227489,object_relative_percentile,15.0,99.5,object_relative_p15p0,-7.525862980511944e-05,203.25,-1036537,False
676,0.4987987289777571,both tolerable,-300.0,13123804,12960701,0.4986497955404675,both tolerable,-99.25,11388729,10993655,object_relative_percentile,15.0,99.5,object_relative_p15p0,-0.00014893343728961117,200.75,-1967046,False
44,0.156288929710099,found but incorrect,-300.0,7813929,7622339,0.3946894689468947,both tolerable,-127.75,6967035,6229370,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.23840053923679572,172.25,-1392969,True
129,0.7126447678184892,both tolerable,-300.0,11825263,11633983,0.7048392689088118,both tolerable,-91.25,10297710,10008371,object_relative_percentile,15.0,99.5,object_relative_p15p0,-0.007805498909677411,208.75,-1625612,False
518,0.6671289095440661,both tolerable,-300.0,11172219,10940762,0.7123566370798843,both tolerable,-94.5,9667868,8858632,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.04522772753581816,205.5,-2082130,False
793,0.7084307131049421,both tolerable,-300.0,9405673,9241075,0.7191398360460972,both tolerable,-95.0,8161949,7943284,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.010709122941155114,205.0,-1297791,False
550,0.5417879417879418,both tolerable,-300.0,12646436,12528441,0.5414666160063556,both tolerable,-105.5,10960391,10765499,object_relative_percentile,15.0,99.5,object_relative_p15p0,-0.0003213257815861681,194.5,-1762942,False
631,0.5032588315823934,both tolerable,-300.0,11110441,10876543,0.7293812763200518,both tolerable,-98.75,9613892,8541070,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.2261224447376584,201.25,-2335473,False
330,0.6197146684842645,both tolerable,-300.0,10450446,10159836,0.6560065391197731,both tolerable,-100.0,9177325,8682963,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.03629187063550865,200.0,-1476873,False
90,0.6790472676587546,both tolerable,-300.0,11910696,11640398,0.6777882640315328,both tolerable,-102.25,10455301,9198397,object_relative_percentile,15.0,99.5,object_relative_p15p0,-0.0012590036272217553,197.75,-2442001,False
608,0.6666666666666666,both tolerable,-300.0,8745169,8649954,0.6774431378331551,both tolerable,-110.75,7647337,7513833,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.0107764711664885,189.25,-1136121,False
887,0.550806599263584,both tolerable,-300.0,11160855,10810192,0.5518368013722407,both tolerable,-95.25,9791352,8964855,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.0010302021086566748,204.75,-1845337,False
175,0.4584321949576744,both tolerable,-300.0,9988264,9789266,0.4977817632622239,both tolerable,-78.5,8738339,8296764,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.0393495683045495,221.5,-1492502,False
760,0.7184318282425852,both tolerable,-300.0,11317959,10482444,0.7242286263751803,both tolerable,-96.25,9933038,8746375,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.005796798132595038,203.75,-1736069,False
696,0.6303600323624595,both tolerable,-300.0,8565969,8325140,0.631042071197411,both tolerable,-90.75,7595776,7363562,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.0006820388349514372,209.25,-961578,False
194,0.789477826928829,both tolerable,-300.0,12683474,12397124,0.8045350591212106,both tolerable,-78.25,11069753,10261317,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.015057232192381642,221.75,-2135807,False
305,0.6876775376649528,both tolerable,-300.0,11260109,11026716,0.6914482887251702,both tolerable,-107.0,9758316,8837285,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.0037707510602174032,193.0,-2189431,False
344,0.7381695928277923,both tolerable,-300.0,12321281,10908226,0.7441930618401207,both tolerable,-108.0,10781560,9186890,object_relative_percentile,15.0,99.5,object_relative_p15p0,0.00602346901232842,192.0,-1721336,False
28,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.6731322865834983,both tolerable,-147.75,10812877,10528186,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.0021663937775366904,152.25,-257446,False
380,0.5410466097957435,both tolerable,-300.0,7780773,7643416,0.5575329297757917,both tolerable,-169.0,7563325,7438744,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.016486319980048236,131.0,-204672,False
854,0.6313070183361936,both tolerable,-300.0,10687984,10438449,0.6435417281038042,both tolerable,-159.25,10398344,10200893,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.012234709767610541,140.75,-237556,False
937,0.6849258025439128,both tolerable,-300.0,11831469,11533848,0.6915527381043306,both tolerable,-140.5,11457622,11214381,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.006626935560417824,159.5,-319467,False
315,0.646501922778458,both tolerable,-300.0,12588138,12429464,0.6456190509396464,both tolerable,-135.5,12197570,12047431,object_relative_percentile,5.0,99.5,object_relative_p5p0,-0.0008828718388115275,164.5,-382033,False
428,0.6234361008059358,both tolerable,-300.0,12617439,12468805,0.6272283178597918,both tolerable,-164.0,12202381,12082369,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.0037922170538560174,136.0,-386436,False
752,0.5856114949368065,both tolerable,-300.0,8617680,7856116,0.6592916473521342,both tolerable,-169.25,8413905,7664192,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.07368015241532766,130.75,-191924,False
13,0.5726432920428302,both tolerable,-300.0,12338830,12137872,0.5721080932028126,both tolerable,-142.25,11951260,11804983,object_relative_percentile,5.0,99.5,object_relative_p5p0,-0.0005351988400175145,157.75,-332889,False
538,0.5561581525542337,both tolerable,-300.0,12495664,12072304,0.7090472782385383,both tolerable,-125.25,12072234,11702113,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.15288912568430457,174.75,-370191,False
965,0.4815496709495456,both tolerable,-300.0,12597889,12460364,0.5216499345264077,both tolerable,-140.5,12156972,12056886,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.04010026357686214,159.5,-403478,False
447,0.467348882947666,found but incorrect,-300.0,11684575,11506073,0.4640556793552917,found but incorrect,-149.25,11326494,11201647,object_relative_percentile,5.0,99.5,object_relative_p5p0,-0.0032932035923743386,150.75,-304426,False
836,0.7438879393624136,both tolerable,-300.0,10869642,10324182,0.7462414069340686,both tolerable,-143.75,10567221,10087585,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.002353467571654999,156.25,-236597,False
603,0.4381347508535373,found but incorrect,-300.0,8507098,8264026,0.4380989380989381,found but incorrect,-177.0,8281713,8079452,object_relative_percentile,5.0,99.5,object_relative_p5p0,-3.581275459924038e-05,123.0,-184574,False
676,0.4987987289777571,both tolerable,-300.0,13123804,12960701,0.4982058108577382,both tolerable,-143.5,12679486,12563142,object_relative_percentile,5.0,99.5,object_relative_p5p0,-0.0005929181200189371,156.5,-397559,False
44,0.156288929710099,found but incorrect,-300.0,7813929,7622339,0.3911700727770765,both tolerable,-188.5,7636935,7173771,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.2348811430669775,111.5,-448568,True
129,0.7126447678184892,both tolerable,-300.0,11825263,11633983,0.7153680339821213,both tolerable,-139.25,11430059,11283722,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.0027232661636321653,160.75,-350261,False
518,0.6671289095440661,both tolerable,-300.0,11172219,10940762,0.6851195154210354,both tolerable,-138.0,10780281,10581262,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.017990605876969323,162.0,-359500,False
793,0.7084307131049421,both tolerable,-300.0,9405673,9241075,0.7073040496866482,both tolerable,-132.75,9105561,8977643,object_relative_percentile,5.0,99.5,object_relative_p5p0,-0.0011266634182939272,167.25,-263432,False
550,0.5417879417879418,both tolerable,-300.0,12646436,12528441,0.541323742997441,both tolerable,-136.75,12210883,12130281,object_relative_percentile,5.0,99.5,object_relative_p5p0,-0.0004641987905007472,163.25,-398160,False
631,0.5032588315823934,both tolerable,-300.0,11110441,10876543,0.7276079406594349,both tolerable,-150.0,10719380,10502204,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.22434910907704153,150.0,-374339,False
330,0.6197146684842645,both tolerable,-300.0,10450446,10159836,0.6358848952217232,both tolerable,-148.0,10145423,9889996,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.016170226737458715,152.0,-269840,False
90,0.6790472676587546,both tolerable,-300.0,11910696,11640398,0.6837656338338918,both tolerable,-152.5,11533611,11286794,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.004718366175137212,147.5,-353604,False
608,0.6666666666666666,both tolerable,-300.0,8745169,8649954,0.6784916758954993,both tolerable,-146.0,8449090,8368050,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.011825009228832672,154.0,-281904,False
887,0.550806599263584,both tolerable,-300.0,11160855,10810192,0.5514052953156823,both tolerable,-173.25,10873887,10547644,object_relative_percentile,5.0,99.5,object_relative_p5p0,0.0005986960520982798,126.75,-262548,False
