stage,variant,split,IMG_ID,segmentation_variant,vesselness_profile,artery_method,morphology_profile,morphology_closing_radius,morphology_dilation_radius,ostia_status,ostia_success,left_dist_mm,right_dist_mm,dice_artery,dice_artery_before_morphology,dice_artery_after_morphology,dice_artery_morphology_delta,artery_voxels,artery_voxels_before_morphology,artery_voxels_after_morphology,morphology_added_voxels,recall_before_morphology,recall_after_morphology,precision_before_morphology,precision_after_morphology,vesselness_seconds,segmentation_seconds,morphology_seconds,fc_processed_voxels,fc_candidate_voxels_initial,fc_candidate_voxels_final,fc_effective_alpha,fc_object_seed_count,fc_grow_each_ostium_separately,fc_processed_limit_hit,fc_candidate_limit_hit,error
refinement,fc_floor_022_alpha_018__conservative_c2_d1,train,752,fc_floor_022_alpha_018,current,fuzzy_connectedness,conservative_c2_d1,2,1,both_tolerable,True,0.63671875,0.8095744354916121,0.6472922330810493,0.403557837788272,0.6472922330810493,0.24373439529277735,20217,9403,20217,10814,0.2572255179870832,0.5148601654051842,0.9360842284377326,0.8714448236632537,0.397707125001034,2.1683668220030086,0.6365616129987757,9403.0,476969.0,476969.0,0.18,8.0,False,False,False,
refinement,fc_floor_022_alpha_018__current_c3_d2,train,752,fc_floor_022_alpha_018,current,fuzzy_connectedness,current_c3_d2,3,2,both_tolerable,True,0.63671875,0.8095744354916121,0.7219799082646255,0.403557837788272,0.7219799082646255,0.31842207047635357,36855,9403,36855,27452,0.2572255179870832,0.7497881294017943,0.9360842284377326,0.6961606294939628,0.397707125001034,2.1683668220030086,1.8261395569970773,9403.0,476969.0,476969.0,0.18,8.0,False,False,False,
refinement,fc_floor_022_alpha_018__raw,train,752,fc_floor_022_alpha_018,current,fuzzy_connectedness,raw,0,0,both_tolerable,True,0.63671875,0.8095744354916121,0.403557837788272,0.403557837788272,0.403557837788272,0.0,9403,9403,9403,0,0.2572255179870832,0.2572255179870832,0.9360842284377326,0.9360842284377326,0.397707125001034,2.1683668220030086,0.23847580100118648,9403.0,476969.0,476969.0,0.18,8.0,False,False,False,
refinement,fc_floor_024__closing_c3_d1,train,752,fc_floor_024,current,fuzzy_connectedness,closing_c3_d1,3,1,both_tolerable,True,0.63671875,0.8095744354916121,0.6480978939482228,0.4266138855054811,0.6480978939482228,0.2214840084427417,25846,11757,25846,14089,0.2865951664280078,0.5688068032379672,0.834141362592498,0.7530759111661379,0.397707125001034,2.5149911159969633,1.5599891760030005,11757.0,448231.0,448231.0,0.16,8.0,False,False,False,
refinement,fc_floor_024__conservative_c2_d1,train,752,fc_floor_024,current,fuzzy_connectedness,conservative_c2_d1,2,1,both_tolerable,True,0.63671875,0.8095744354916121,0.6463346861790809,0.4266138855054811,0.6463346861790809,0.21972080067359973,25162,11757,25162,13405,0.2865951664280078,0.560799555802332,0.834141362592498,0.7626579763134886,0.397707125001034,2.5149911159969633,0.6114824349970149,11757.0,448231.0,448231.0,0.16,8.0,False,False,False,
refinement,fc_floor_024__current_c3_d2,train,752,fc_floor_024,current,fuzzy_connectedness,current_c3_d2,3,2,both_tolerable,True,0.63671875,0.8095744354916121,0.6803154723961653,0.4266138855054811,0.6803154723961653,0.25370158689068417,45788,11757,45788,34031,0.2865951664280078,0.7953183903679243,0.834141362592498,0.5943697038525377,0.397707125001034,2.5149911159969633,1.8198233430011896,11757.0,448231.0,448231.0,0.16,8.0,False,False,False,
refinement,fc_floor_024__raw,train,752,fc_floor_024,current,fuzzy_connectedness,raw,0,0,both_tolerable,True,0.63671875,0.8095744354916121,0.4266138855054811,0.4266138855054811,0.4266138855054811,0.0,11757,11757,11757,0,0.2865951664280078,0.2865951664280078,0.834141362592498,0.834141362592498,0.397707125001034,2.5149911159969633,0.23500921400045627,11757.0,448231.0,448231.0,0.16,8.0,False,False,False,
refinement,rg_gamma55__closing_c3_d1,train,752,rg_gamma55,current,region_growing,closing_c3_d1,3,1,both_tolerable,True,0.63671875,0.8095744354916121,0.552148738866737,0.35900676059897646,0.552148738866737,0.19314197826776053,31238,13262,31238,17976,0.24907215289751308,0.5280984248516906,0.6426632483788267,0.5784941417504321,0.397707125001034,0.11022902600234374,1.5524083519994747,,,,,,,False,False,
refinement,rg_gamma55__conservative_c2_d1,train,752,rg_gamma55,current,region_growing,conservative_c2_d1,2,1,both_tolerable,True,0.63671875,0.8095744354916121,0.5508946723155951,0.35900676059897646,0.5508946723155951,0.19188791171661862,30218,13262,30218,16956,0.24907215289751308,0.51868844793828,0.6426632483788267,0.5873651466013634,0.397707125001034,0.11022902600234374,0.6355516929979785,,,,,,,False,False,
refinement,rg_gamma55__current_c3_d2,train,752,rg_gamma55,current,region_growing,current_c3_d2,3,2,both_tolerable,True,0.63671875,0.8095744354916121,0.5847562783445156,0.35900676059897646,0.5847562783445156,0.22574951774553914,56848,13262,56848,43586,0.24907215289751308,0.7781057307343874,0.6426632483788267,0.4683717984801576,0.397707125001034,0.11022902600234374,1.8073012830027437,,,,,,,False,False,
