run,variant,threshold_method,lower_threshold_method,lower_threshold_percentile,max_threshold_percentile,fuzzy_object_percentile,fuzzy_dense_percentile,fuzzy_soft_margin_hu,fuzzy_smooth_radius,mean_dice,median_dice,ostia_success_rate,n_images,run_dir
normal_threshold_percentile_refined_p10_p12,percentile_p10p0,normal,percentile,10.0,99.7,,,,,0.633823571577418,0.6588558228147109,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_percentile_refined_p10_p12/pipeline_runs/percentile_p10p0/segmentation/runs/mid_res/2026-06-30_13-48-24
normal_threshold_refined_p10p75_upper,percentile_p10p9_maxp99p85,normal,percentile,10.9,99.85,,,,,0.6337461356915958,0.6530335646869223,0.8666666666666667,30,output/segmentation/analysis/threshold_sweep/normal_threshold_refined_p10p75_upper/pipeline_runs/percentile_p10p9_maxp99p85/segmentation/runs/mid_res/2026-07-02_13-28-25
normal_threshold_fine_p10_upper,percentile_p10p5_maxp99p8,normal,percentile,10.5,99.8,,,,,0.633725934810966,0.6599231167631648,0.9,30,output/segmentation/analysis/threshold_sweep/normal_threshold_fine_p10_upper/pipeline_runs/percentile_p10p5_maxp99p8/segmentation/runs/mid_res/2026-07-01_17-54-47
normal_threshold_refined_p10p75_upper,percentile_p10p6_maxp99p8,normal,percentile,10.6,99.8,,,,,0.6336237758976551,0.6600068375106469,0.9,30,output/segmentation/analysis/threshold_sweep/normal_threshold_refined_p10p75_upper/pipeline_runs/percentile_p10p6_maxp99p8/segmentation/runs/mid_res/2026-07-02_09-25-38
normal_threshold_refined_p10p75_upper,percentile_p10p9_maxp99p8,normal,percentile,10.9,99.8,,,,,0.6335017899395756,0.6599802749653596,0.9,30,output/segmentation/analysis/threshold_sweep/normal_threshold_refined_p10p75_upper/pipeline_runs/percentile_p10p9_maxp99p8/segmentation/runs/mid_res/2026-07-02_12-53-10
normal_threshold_fine_p10_upper,percentile_p10p25_maxp99p8,normal,percentile,10.25,99.8,,,,,0.633204186602675,0.6597696877839088,0.9,30,output/segmentation/analysis/threshold_sweep/normal_threshold_fine_p10_upper/pipeline_runs/percentile_p10p25_maxp99p8/segmentation/runs/mid_res/2026-07-01_16-15-16
normal_threshold_percentile_refined_p10_p12,percentile_p9p5,normal,percentile,9.5,99.7,,,,,0.6330826712786627,0.6581513681774691,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_percentile_refined_p10_p12/pipeline_runs/percentile_p9p5/segmentation/runs/mid_res/2026-06-30_13-15-06
normal_threshold_percentile_broad_p9_p16,percentile_p9p0,normal,percentile,9.0,,,,,,0.632915409487272,0.659421808833951,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_percentile_broad_p9_p16/pipeline_runs/percentile_p9p0/segmentation/runs/mid_res/2026-06-29_17-42-28
normal_threshold_percentile_broad_p9_p16,percentile_p15p0,normal,percentile,15.0,,,,,,0.6324361220247146,0.655256120805624,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_percentile_broad_p9_p16/pipeline_runs/percentile_p15p0/segmentation/runs/mid_res/2026-06-29_19-55-49
normal_threshold_percentile_refined_p10_p12,percentile_p12p0,normal,percentile,12.0,99.7,,,,,0.632376504248701,0.6576047968104477,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_percentile_refined_p10_p12/pipeline_runs/percentile_p12p0/segmentation/runs/mid_res/2026-06-30_16-05-36
fuzzy_threshold_percentile_refined,percentile_p11p5,normal,percentile,11.5,99.7,,,,,0.6322837370448415,0.6574613666069068,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p11p5/segmentation/runs/mid_res/2026-07-01_09-51-55
normal_threshold_percentile_refined_p10_p12,percentile_p11p5,normal,percentile,11.5,99.7,,,,,0.6322837370448415,0.6574613666069068,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_percentile_refined_p10_p12/pipeline_runs/percentile_p11p5/segmentation/runs/mid_res/2026-06-30_15-31-29
normal_threshold_percentile_broad_p9_p16,percentile_p14p0,normal,percentile,14.0,,,,,,0.6321232754178012,0.6605812513098579,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_percentile_broad_p9_p16/pipeline_runs/percentile_p14p0/segmentation/runs/mid_res/2026-06-29_19-22-42
normal_threshold_refined_p10p75_upper,percentile_p10p9_maxp99p75,normal,percentile,10.9,99.75,,,,,0.6307433575601039,0.6589570179263047,0.9,30,output/segmentation/analysis/threshold_sweep/normal_threshold_refined_p10p75_upper/pipeline_runs/percentile_p10p9_maxp99p75/segmentation/runs/mid_res/2026-07-02_12-18-35
normal_threshold_fine_p10_upper,percentile_p10p5_maxp99p6,normal,percentile,10.5,99.6,,,,,0.6275599821931623,0.6520603387387867,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_fine_p10_upper/pipeline_runs/percentile_p10p5_maxp99p6/segmentation/runs/mid_res/2026-07-01_16-48-40
normal_threshold_fine_p10_upper,percentile_p10p25_maxp99p6,normal,percentile,10.25,99.6,,,,,0.6270784927376573,0.6520040480540094,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_fine_p10_upper/pipeline_runs/percentile_p10p25_maxp99p6/segmentation/runs/mid_res/2026-07-01_15-06-02
fuzzy_threshold_percentile_refined,percentile_p10p0_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean,fuzzy,percentile,10.0,99.7,99.7,99.95,120.0,2.0,0.6261777324035646,0.6456388405397612,0.9,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p10p0_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean/segmentation/runs/mid_res/2026-07-01_10-26-32
fuzzy_threshold_percentile_refined,percentile_p10p5_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean,fuzzy,percentile,10.5,99.7,99.7,99.95,120.0,2.0,0.6260904080543853,0.6457114825932437,0.9,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean/segmentation/runs/mid_res/2026-07-01_11-03-33
normal_threshold_percentile_broad_p9_p16,percentile_p16p0,normal,percentile,16.0,,,,,,0.6254144155985084,0.6472057742107963,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_percentile_broad_p9_p16/pipeline_runs/percentile_p16p0/segmentation/runs/mid_res/2026-06-29_20-28-29
normal_threshold_fine_p10_upper,percentile_p10p75_maxp99p6,normal,percentile,10.75,99.6,,,,,0.6248011082126775,0.6449528332078385,0.9333333333333332,30,output/segmentation/analysis/threshold_sweep/normal_threshold_fine_p10_upper/pipeline_runs/percentile_p10p75_maxp99p6/segmentation/runs/mid_res/2026-07-01_18-27-59
normal_threshold_refined_p10p75_upper,percentile_p10p6_maxp99p75,normal,percentile,10.6,99.75,,,,,0.6166444770608142,0.6589576563301807,0.8666666666666667,30,output/segmentation/analysis/threshold_sweep/normal_threshold_refined_p10p75_upper/pipeline_runs/percentile_p10p6_maxp99p75/segmentation/runs/mid_res/2026-07-02_08-51-15
normal_threshold_refined_p10p75_upper,percentile_p10p75_maxp99p85,normal,percentile,10.75,99.85,,,,,0.6137647189425455,0.6530171637121702,0.8333333333333334,30,output/segmentation/analysis/threshold_sweep/normal_threshold_refined_p10p75_upper/pipeline_runs/percentile_p10p75_maxp99p85/segmentation/runs/mid_res/2026-07-02_11-44-12
normal_threshold_refined_p10p75_upper,percentile_p10p6_maxp99p85,normal,percentile,10.6,99.85,,,,,0.6137427916243479,0.6530502826189203,0.8333333333333334,30,output/segmentation/analysis/threshold_sweep/normal_threshold_refined_p10p75_upper/pipeline_runs/percentile_p10p6_maxp99p85/segmentation/runs/mid_res/2026-07-02_09-59-19
normal_threshold_percentile_broad_p9_p16,fixed_m300,normal,fixed,,,,,,,0.6063899178387462,0.6308335253493266,0.9,30,output/segmentation/analysis/threshold_sweep/normal_threshold_percentile_broad_p9_p16/pipeline_runs/fixed_m300/segmentation/runs/mid_res/2026-06-29_17-03-33
normal_threshold_percentile_refined_p10_p12,fixed_m300,normal,fixed,,99.7,,,,,0.6063899178387462,0.6308335253493266,0.9,30,output/segmentation/analysis/threshold_sweep/normal_threshold_percentile_refined_p10_p12/pipeline_runs/fixed_m300/segmentation/runs/mid_res/2026-06-30_12-36-32
fuzzy_threshold_percentile_refined,percentile_p11p5_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean,fuzzy,percentile,11.5,99.7,99.7,99.95,120.0,2.0,0.6062012098275018,0.6368514303102067,0.8666666666666667,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p11p5_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean/segmentation/runs/mid_res/2026-07-01_12-17-39
fuzzy_threshold_percentile_refined,percentile_p11p0_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean,fuzzy,percentile,11.0,99.7,99.7,99.95,120.0,2.0,0.60353680539299,0.6367400400079405,0.8666666666666667,30,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_percentile_refined/pipeline_runs/percentile_p11p0_thfuzzy_objp99p7_densep99p95_m120p0_r2_mean/segmentation/runs/mid_res/2026-07-01_11-40-57
normal_threshold_refined_p10p75_upper,percentile_p10p75_maxp99p75,normal,percentile,10.75,99.75,,,,,0.5939894764738425,0.6518424244079698,0.8333333333333334,30,output/segmentation/analysis/threshold_sweep/normal_threshold_refined_p10p75_upper/pipeline_runs/percentile_p10p75_maxp99p75/segmentation/runs/mid_res/2026-07-02_10-34-04
