IMG_ID,preprocess_seconds,cpu_aorta_circles_seconds,gpu_aorta_circles_seconds,aorta_circles_delta_gpu_minus_cpu_seconds,aorta_circles_speedup_cpu_over_gpu,cpu_aorta_mask_seconds,gpu_aorta_mask_seconds,aorta_mask_delta_gpu_minus_cpu_seconds,aorta_mask_speedup_cpu_over_gpu,cpu_aorta_surface_seconds,gpu_aorta_surface_seconds,aorta_surface_delta_gpu_minus_cpu_seconds,aorta_surface_speedup_cpu_over_gpu,cpu_artery_postprocessing_seconds,gpu_artery_postprocessing_seconds,artery_postprocessing_delta_gpu_minus_cpu_seconds,artery_postprocessing_speedup_cpu_over_gpu,cpu_artery_region_growing_seconds,gpu_artery_region_growing_seconds,artery_region_growing_delta_gpu_minus_cpu_seconds,artery_region_growing_speedup_cpu_over_gpu,cpu_artery_total_seconds,gpu_artery_total_seconds,artery_total_delta_gpu_minus_cpu_seconds,artery_total_speedup_cpu_over_gpu,cpu_backend_total_seconds,gpu_backend_total_seconds,backend_total_delta_gpu_minus_cpu_seconds,backend_total_speedup_cpu_over_gpu,cpu_ostia_detection_seconds,gpu_ostia_detection_seconds,ostia_detection_delta_gpu_minus_cpu_seconds,ostia_detection_speedup_cpu_over_gpu,cpu_vesselness_artery_seconds,gpu_vesselness_artery_seconds,vesselness_artery_delta_gpu_minus_cpu_seconds,vesselness_artery_speedup_cpu_over_gpu,cpu_vesselness_ostios_seconds,gpu_vesselness_ostios_seconds,vesselness_ostios_delta_gpu_minus_cpu_seconds,vesselness_ostios_speedup_cpu_over_gpu
447,13.133423452993156,36.50107315700734,36.51706431800267,0.015991160995326936,0.9995620907295266,14.366915833001258,14.432380563986953,0.0654647309856955,0.9954640379183841,0.1510378539969679,0.14783198000804987,-0.0032058739889180288,1.0216859301265089,2.6462261749984464,2.648036486003548,0.0018103110051015392,0.9993163572274513,0.05797304199950304,0.057993221998913214,2.0179999410174787e-05,0.9996520283109886,101.90498129298794,3.268913556006737,-98.6360677369812,31.173960261425133,210.39982363500167,59.56461295300687,-150.8352106819948,3.532295656835633,4.728404477995355,4.7234862449986394,-0.004918232996715233,1.0010412294524882,99.20078207598999,0.5628838480042759,-98.63789822798572,176.2366826259268,52.65493210700515,0.3826804560085293,-52.27225165099662,137.59503857660178
836,14.768730722003966,34.34747152798809,34.351087632996496,0.003616105008404702,0.9998947309893929,23.70543020700279,23.90583598399826,0.20040577699546702,0.9916168680681315,0.1750007960072253,0.17609386501135305,0.0010930690041277558,0.9937926911646963,2.9726673209952423,2.972827106001205,0.00015978500596247613,0.9999462514972229,0.10028726000746246,0.10036478300753515,7.752300007268786e-05,0.999227587628353,110.31802168500144,3.7076126110187033,-106.61040907398274,29.754462846831906,231.07706308399793,67.41037126400624,-163.66669181999168,3.4279155974235302,4.8033451679948485,4.7597802840027725,-0.04356488399207592,1.0091527090312329,107.24506710399874,0.6344207220099634,-106.61064638198877,169.04407971452497,57.62512415299716,0.40599073900375515,-57.219133413993404,141.93704096404073
603,11.143383392001851,27.69419942999957,27.57616882599541,-0.11803060400416143,1.0042801668625156,14.553855783000472,14.55485767799837,0.0010018949978984892,0.9999311642188426,0.12822630799200851,0.1281271560001187,-9.915199188981205e-05,1.0007738561830695,2.223607122999965,2.2299578139936784,0.006350690993713215,0.9971521026299867,0.06373858900042251,0.06428736999805551,0.0005487809976330027,0.9914636265622687,83.71999636900728,2.772279874989181,-80.9477164940181,30.198969853047036,171.84289785800502,47.54917033799575,-124.29372752000927,3.6140041274429606,2.1032898370031035,2.103370555996662,8.071899355854839e-05,0.9999616239785575,81.43265065700689,0.4780346909974469,-80.95461596600944,170.34883072417398,43.567141138002626,0.33682066899200436,-43.23032046901062,129.34818183333294
676,14.86732514500909,25.47255298901291,25.404894357998273,-0.06765863101463765,1.002663212452735,19.186499868999817,19.240584697996383,0.05408482899656519,0.997189023626595,0.17564627100364305,0.17073438499937765,-0.004911886004265398,1.028769166821805,2.966954301999067,2.9748637459997553,0.007909444000688381,0.9973412415908715,0.04238581701065414,0.041071354993619025,-0.0013144620170351118,1.0320043499231843,114.15778830902127,3.6493083569948794,-110.50847995202639,31.282034057277514,222.23583650299406,53.65414556900214,-168.58169093399192,4.142006813195575,4.692990669005667,4.662809650995769,-0.030181018009898253,1.0064727107192661,111.14844819001155,0.6333732560015051,-110.51507493401004,175.48648784398222,58.44750667399785,0.42147925100289285,-58.02602742299496,138.67232262305765
44,11.070812797988765,20.919301162997726,20.773449354004697,-0.1458518089930294,1.0070210684084062,13.010892773003434,12.996140925009968,-0.014751847993466072,1.0011350944929411,0.1253543390048435,0.12451422699086834,-0.0008401120139751583,1.0067471166490618,2.213309038008447,2.2153676919988357,0.002058653990388848,0.9990707393640234,0.2766208279936109,0.273815652995836,-0.002805174997774884,1.0102447576209879,83.35644441700424,2.968648572990787,-80.38779584401345,28.078919537797013,162.70286039799976,39.46503923200362,-123.23782116599614,4.122708695195168,2.1759483269997872,2.1834951939963503,0.00754686699656304,0.9965436759296226,80.86651455100218,0.4794652279961156,-80.38704932300607,168.659810616459,43.03718734299764,0.3408581289986614,-42.69632921399898,126.26129078812919
129,14.763869078000425,37.77260523100267,37.64326604300004,-0.129339188002632,1.0034359183354304,23.566938782008947,23.55156622901268,-0.015372552996268496,1.0006527189252208,0.1766422189975856,0.1723466149996966,-0.004295603997888975,1.024924214484262,2.9661286550108343,2.9679781750019174,0.0018495199910830706,0.9993768417818363,0.11049354200076777,0.10877105200779624,-0.001722489992971532,1.0158359228965448,112.84229556300852,3.6962789399985923,-109.14601662300993,30.52862010545435,237.37273810899933,70.33317198099394,-167.0395661280054,3.3749755829744794,4.754378830999485,4.768971038996824,0.014592207997338846,0.9969401768477906,109.76567336599692,0.6195297129888786,-109.14614365300804,177.17580136139065,58.15618924399314,0.3989095599972643,-57.757279683995876,145.7879055202186
518,13.115796142999898,28.395316353009548,28.35311803899822,-0.042198314011329785,1.0014883129944752,13.675638947999687,13.691733898987877,0.01609495098819025,0.9988244767896505,0.1517971719877096,0.14816220100328792,-0.0036349709844216704,1.0245337269546975,2.6188402349944226,2.6321010359970387,0.013260801002616063,0.9949618951471622,0.0934666679968359,0.09534634699230082,0.0018796789954649284,0.9802857785876504,100.7347751109919,3.3019851019926136,-97.43279000899929,30.50733785873309,197.25645993600483,48.2199090590002,-149.03655087700463,4.090767979148378,2.2744971420033835,2.272776187994168,-0.0017209540092153475,1.0007572034669785,98.02246820800065,0.5745377190032741,-97.44793048899737,170.6110233772868,51.932896729995264,0.36057423798774835,-51.572322492007515,144.02830612585208
793,11.089594744000351,18.616223705001175,18.57438800598902,-0.04183569901215378,1.002252332566686,9.696572861997993,9.676322664003237,-0.02025019799475558,1.0020927576206287,0.12894260200846475,0.12588284799130633,-0.0030597540171584114,1.0243063615574517,2.219559206001577,2.222552248989814,0.0029930429882369936,0.9986533306519128,0.0711899540037848,0.06969161800225265,-0.0014983360015321523,1.0214995152140638,84.93361801099672,2.7944236649927916,-82.13919434600393,30.39396605282321,160.57492571701005,35.33780949699576,-125.23711622001429,4.5439977181002495,3.714146514001186,3.746097045004717,0.03195053100353107,0.9914709814989614,82.64286885099136,0.502179798000725,-82.14068905299064,164.56828645837334,43.407322844999726,0.3436325439979555,-43.06369030100177,126.31901024269105
550,14.745525199003168,29.55576630300493,29.49593926400121,-0.05982703900372144,1.0020283144221394,13.607925021991832,13.550226423001732,-0.057698598990100436,1.0042581280333556,0.1661067759996513,0.16055546900315676,-0.005551306996494532,1.0345756331500946,2.964872624987038,2.9686443180107744,0.0037716930237365887,0.9987294897536718,0.061221363008371554,0.06408316899614874,0.0028618059877771884,0.9553423147979905,113.5108742419834,3.664810477013816,-109.84606376496959,30.97319082499323,220.06116128299618,52.29459697499988,-167.7665643079963,4.208105120079601,4.9187201949971495,4.910763863998,-0.007956330999149941,1.0016201819552921,110.48478025398799,0.6320829900068929,-109.8526972639811,174.7947374011491,58.19924648400047,0.40917165200517047,-57.7900748319953,142.2367512480191
631,14.730002129988861,38.09475769499841,37.99470186699182,-0.10005582800658885,1.0026334152681828,26.486048826001934,26.409314570002607,-0.0767342559993267,1.002905575447478,0.1972230009996565,0.196450224990258,-0.0007727760093985125,1.0039336987750298,2.966519131005043,2.9629930119990604,-0.003526119005982764,1.0011900530955367,0.09120559199072886,0.0895443959889235,-0.001661196001805365,1.0185516467385727,111.89182077800797,3.6723707909841323,-108.21944998702384,30.46855210065073,237.16233520799142,71.40051672900154,-165.76181847898988,3.3215772948553544,2.589157886002795,2.6034934210038045,0.014335535001009703,0.9944937310440821,108.8340960550122,0.6198333829961484,-108.21426267201605,175.58605109155354,57.80018504499458,0.4206414939981187,-57.37954355099646,137.40961333988864
