lower_threshold_percentile,IMG_ID,normal_dice,normal_ostia_status,normal_left_dist_mm,normal_right_dist_mm,normal_artery_voxels,fuzzy_dice,fuzzy_ostia_status,fuzzy_left_dist_mm,fuzzy_right_dist_mm,fuzzy_artery_voxels,fuzzy_minus_normal_dice,fuzzy_minus_normal_voxels
10.0,330,0.6584093052499214,both tolerable,0.0,1.974511812933532,46265,0.6922451854058885,both tolerable,1.91015625,1.974511812933532,40578,0.03383588015596717,-5687
10.0,90,0.6845203548627808,both tolerable,1.3203125,0.8281342128025279,34058,0.3860013103297663,both tolerable,1.4761542507713454,0.8281342128025279,16640,-0.29851904453301453,-17418
10.0,608,0.6798501325047975,both tolerable,1.3680800657879093,0.5,32588,0.6812361464763963,both tolerable,1.3680800657879093,0.5,32462,0.0013860139715987652,-126
10.0,887,0.5507694813125967,both tolerable,0.7890625,0.0,16429,0.5504029378761603,both tolerable,0.7890625,0.0,16320,-0.000366543436436384,-109
10.0,175,0.4723494299339923,both tolerable,0.9004562916672442,0.5,39444,0.4744998320779158,both tolerable,0.9004562916672442,0.5,38647,0.00215040214392348,-797
10.0,760,0.723516396792514,both tolerable,0.0,1.0541954870895625,35706,0.7243652726159454,both tolerable,0.0,1.0541954870895625,34974,0.0008488758234314053,-732
10.0,696,0.6309376290788931,both tolerable,0.0,1.739843048383334,18653,0.6319829866694331,both tolerable,0.0,1.739843048383334,18475,0.0010453575905400303,-178
10.0,194,0.7987279969163562,both tolerable,0.8095744354916121,1.345667690480501,32359,0.8052433240205314,both tolerable,0.8095744354916121,1.345667690480501,31659,0.006515327104175239,-700
10.0,305,0.6912416644935365,both tolerable,1.841961526640825,0.0,27506,0.6928801136788573,both tolerable,1.841961526640825,0.0,27304,0.001638449185320745,-202
10.0,344,0.7431786047351163,both tolerable,2.31325209475886,0.0,34382,0.7373403753367529,both tolerable,2.31325209475886,0.0,33601,-0.005838229398363426,-781
10.5,28,0.6716307692307693,both tolerable,1.0737001589130926,0.8375058302035873,24565,0.6733610198557821,both tolerable,1.0737001589130926,0.8375058302035873,24214,0.0017302506250128635,-351
10.5,380,0.5565812509947478,both tolerable,2.504064688825013,1.739843048383334,39918,0.5776888029821897,both tolerable,2.3495403733114086,1.739843048383334,36952,0.021107551987441964,-2966
10.5,854,0.6442837978834401,both tolerable,1.2734375,0.63671875,29296,0.6451141347126954,both tolerable,1.2734375,0.63671875,28982,0.0008303368292552626,-314
10.5,937,0.6900461183704842,both tolerable,1.390625,2.160392872438078,28017,0.6909252188669058,both tolerable,1.390625,2.160392872438078,27835,0.000879100496421592,-182
10.5,315,0.6464494715695694,both tolerable,0.0,1.3908992882585445,28030,0.646308830473792,both tolerable,0.0,1.2113217636280884,27962,-0.00014064109577749395,-68
10.5,428,0.6283050999372591,both tolerable,0.0,1.2202077119702048,34057,0.6316416095651843,both tolerable,0.0,1.2202077119702048,34911,0.0033365096279251993,854
10.5,752,0.6595595633844077,both tolerable,0.0,0.5,44294,0.4810417571943202,found but incorrect,14.23387813433725,1.345667690480501,37122,-0.1785178061900875,-7172
10.5,13,0.5726352807323002,both tolerable,2.0859375,1.1031404921008474,25395,0.5746401451752146,both tolerable,2.0859375,1.1031404921008474,24145,0.002004864442914367,-1250
