IMG_ID,fixed_control_dice,fixed_control_ostia_status,fixed_control_min_threshold_hu,fixed_control_threshold_voxel_count,fixed_control_lcc_voxel_count,original_dice,original_ostia_status,original_min_threshold_hu,original_threshold_voxel_count,original_lcc_voxel_count,variant_dice,variant_ostia_status,variant_min_threshold_hu,variant_threshold_voxel_count,variant_lcc_voxel_count,variant_lower_threshold_method,variant_lower_threshold_percentile,variant_lower_threshold_object_percentile,variant_lower_threshold_object_center_hu,variant,dice_delta,threshold_delta_hu,threshold_voxel_delta,lcc_voxel_delta,ostia_status_changed,dice_delta_vs_fixed_control,threshold_delta_hu_vs_fixed_control,threshold_voxel_delta_vs_fixed_control,lcc_voxel_delta_vs_fixed_control,ostia_status_changed_vs_fixed_control
752,0.5856114949368065,both tolerable,-300.0,8617680,7856116,0.5856114949368065,both tolerable,-300.0,8617680,7856116,0.6592916473521342,both tolerable,-169.25,8413905,7664192,object_relative_percentile,5.0,99.5,478.5,object_relative_p5p0,0.0736801524153276,130.75,-203775,-191924,False,0.07368015241532766,130.75,-203775,-191924,False
13,0.5726432920428302,both tolerable,-300.0,12338830,12137872,0.5726432920428302,both tolerable,-300.0,12338830,12137872,0.5721080932028126,both tolerable,-142.25,11951260,11804983,object_relative_percentile,5.0,99.5,493.25,object_relative_p5p0,-0.0005351988400175,157.75,-387570,-332889,False,-0.0005351988400175145,157.75,-387570,-332889,False
538,0.5561581525542337,both tolerable,-300.0,12495664,12072304,0.5561581525542337,both tolerable,-300.0,12495664,12072304,0.7090472782385383,both tolerable,-125.25,12072234,11702113,object_relative_percentile,5.0,99.5,430.5,object_relative_p5p0,0.1528891256843045,174.75,-423430,-370191,False,0.15288912568430457,174.75,-423430,-370191,False
965,0.4815496709495456,both tolerable,-300.0,12597889,12460364,0.4815496709495456,both tolerable,-300.0,12597889,12460364,0.5216499345264077,both tolerable,-140.5,12156972,12056886,object_relative_percentile,5.0,99.5,491.25,object_relative_p5p0,0.0401002635768621,159.5,-440917,-403478,False,0.04010026357686214,159.5,-440917,-403478,False
447,0.467348882947666,found but incorrect,-300.0,11684575,11506073,0.467348882947666,found but incorrect,-300.0,11684575,11506073,0.4640840125774643,found but incorrect,-149.25,11326494,11201647,object_relative_percentile,5.0,99.5,491.75,object_relative_p5p0,-0.0032648703702017,150.75,-358081,-304426,False,-0.0032648703702017334,150.75,-358081,-304426,False
836,0.7438879393624136,both tolerable,-300.0,10869642,10324182,0.7438879393624136,both tolerable,-300.0,10869642,10324182,0.7462414069340686,both tolerable,-143.75,10567221,10087585,object_relative_percentile,5.0,99.5,493.25,object_relative_p5p0,0.0023534675716549,156.25,-302421,-236597,False,0.002353467571654999,156.25,-302421,-236597,False
603,0.4381347508535373,found but incorrect,-300.0,8507098,8264026,0.4381347508535373,found but incorrect,-300.0,8507098,8264026,0.4380989380989381,found but incorrect,-177.0,8281713,8079452,object_relative_percentile,5.0,99.5,486.25,object_relative_p5p0,-3.581275459924038e-05,123.0,-225385,-184574,False,-3.581275459924038e-05,123.0,-225385,-184574,False
676,0.4987987289777571,both tolerable,-300.0,13123804,12960701,0.4987987289777571,both tolerable,-300.0,13123804,12960701,0.4982058108577382,both tolerable,-143.5,12679486,12563142,object_relative_percentile,5.0,99.5,484.75,object_relative_p5p0,-0.0005929181200189,156.5,-444318,-397559,False,-0.0005929181200189371,156.5,-444318,-397559,False
44,0.156288929710099,found but incorrect,-300.0,7813929,7622339,0.156288929710099,found but incorrect,-300.0,7813929,7622339,0.3911700727770765,both tolerable,-188.5,7636935,7173771,object_relative_percentile,5.0,99.5,453.0,object_relative_p5p0,0.2348811430669775,111.5,-176994,-448568,True,0.2348811430669775,111.5,-176994,-448568,True
129,0.7126447678184892,both tolerable,-300.0,11825263,11633983,0.7126447678184892,both tolerable,-300.0,11825263,11633983,0.7153680339821213,both tolerable,-139.25,11430059,11283722,object_relative_percentile,5.0,99.5,492.75,object_relative_p5p0,0.0027232661636321,160.75,-395204,-350261,False,0.0027232661636321653,160.75,-395204,-350261,False
